"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2020 Week 17 ending April 25, 2020","2020/17",13138,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 18 ending May 02, 2020","2020/18",12855,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 19 ending May 09, 2020","2020/19",12621,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 20 ending May 16, 2020","2020/20",12798,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 21 ending May 23, 2020","2020/21",12631,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 22 ending May 30, 2020","2020/22",12381,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 23 ending June 06, 2020","2020/23",12528,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 24 ending June 13, 2020","2020/24",12466,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 25 ending June 20, 2020","2020/25",12516,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 26 ending June 27, 2020","2020/26",12723,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 27 ending July 04, 2020","2020/27",12674,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 28 ending July 11, 2020","2020/28",12802,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 29 ending July 18, 2020","2020/29",12890,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 30 ending July 25, 2020","2020/30",13167,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 31 ending August 01, 2020","2020/31",13056,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 32 ending August 08, 2020","2020/32",13063,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 33 ending August 15, 2020","2020/33",13153,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 34 ending August 22, 2020","2020/34",12964,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 35 ending August 29, 2020","2020/35",12992,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 36 ending September 05, 2020","2020/36",12814,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 37 ending September 12, 2020","2020/37",12916,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 38 ending September 19, 2020","2020/38",13049,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 39 ending September 26, 2020","2020/39",13366,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 40 ending October 03, 2020","2020/40",12826,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 41 ending October 10, 2020","2020/41",13320,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 42 ending October 17, 2020","2020/42",12836,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 43 ending October 24, 2020","2020/43",13272,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 44 ending October 31, 2020","2020/44",13144,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 45 ending November 07, 2020","2020/45",13541,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 46 ending November 14, 2020","2020/46",13534,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 47 ending November 21, 2020","2020/47",13487,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 48 ending November 28, 2020","2020/48",13372,Not Applicable,Not Applicable,Not Applicable,0.2%
