Name,Txn Name,Money Raised,Announced Date,Location,Industries,Description,Funding Type
Lambda Automata,Seed Round - Lambda Automata,"€6,000,000","Oct 18, 2023","Athens, Attiki, Greece, Europe","Artificial Intelligence (AI), Homeland Security, National Security",Lambda Automata builds autonomous systems tailored for addressing national security challenges in the EU and its allies.,Seed
Relimetrics,Series A - Relimetrics,"$6,300,000","Mar 22, 2021","Sunnyvale, California, United States, North America","Aerospace, Analytics, Artificial Intelligence (AI), Automotive, Computer Vision, Electronics, Machine Learning, Plastics and Rubber Manufacturing, Quality Assurance, Software",Relimetrics develops full stack computer vision and machine learning software for QA and process control in Industry 4.0 applications.,Series A
Asset Reality,Seed Round - Asset Reality,"£5,100,000","Jan 24, 2023","Berkhamsted, Buckinghamshire, United Kingdom, Europe","Cryptocurrency, FinTech, GovTech, Law Enforcement","We build software for law enforcement to seize, manage dispose of crytpocurrencies from criminals.",Seed
Turion Space,Seed Round - Turion Space,"$6,200,000","Sep 1, 2021","Irvine, California, United States, North America","Aerospace, Information Technology, Space Travel",Turion Space provides space domain awareness data and space logistic services.,Seed
Mind Foundry,Series A - Mind Foundry,"£5,000,000","Jun 26, 2020","Oxford, Oxfordshire, United Kingdom, Europe","Artificial Intelligence (AI), Big Data, Data Integration, Enterprise Software, Finance, Infrastructure, Insurance, Machine Learning, National Security",Mind Foundry is an Oxford University company that has developed an AI platform to solve the world's most important problems.,Series A
CERBAIR,Venture Round - CERBAIR,"€5,500,000","Feb 6, 2020","Montrouge, Ile-de-France, France, Europe","Aerospace, Homeland Security, Public Safety",CERBAIR develops a real-time anti-drone platform airspace surveillance technology against rogue drones.,Venture - Series Unknown
The Exploration Company,Seed Round - The Exploration Company,"€5,300,000","Nov 18, 2021","Munich, Bayern, Germany, Europe","Aerospace, Air Transportation, Manufacturing, Space Travel","The Exploration Company develops, manufactures and operates modular and reusable spaceships serving the needs of space stations.",Seed
VRgineers,Series A - VRgineers,"$6,000,000","Nov 28, 2023","Dover, Delaware, United States, North America","Aerospace, Augmented Reality, Information Technology, Virtual Reality",We deliver next-generation virtual and mixed reality pilot training systems for professional and military clients.,Series A
STRIVE,Series A - STRIVE,"$6,000,000","Jun 29, 2022","Bothell, Washington, United States, North America","Analytics, Fitness, GovTech, Health Diagnostics, Industrial, Military, Predictive Analytics, Software",STRIVE is the data platform proven to optimize muscle performance for elite athletes and teams.,Series A
Vita Inclinata Technologies,Series A - Vita Inclinata Technologies,"$6,000,000","May 1, 2019","Denver, Colorado, United States, North America","Aerospace, Construction, Military, Oil and Gas",Vita is an aerospace company that builds autonomous systems for helicopter hoisting and sling load missions.,Series A
Second Front Systems,Seed Round - Second Front Systems,"$6,000,000","Jul 7, 2020","Wilmington, Delaware, United States, North America","Information Services, Information Technology, National Security, SaaS, Software",Second Front Systems accelerates the delivery of software-as-a-service (SaaS) solutions to the government.,Seed
