"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2019 Week 27 ending July 06, 2019","2019/27",11183,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 28 ending July 13, 2019","2019/28",11360,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 29 ending July 20, 2019","2019/29",11290,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 30 ending July 27, 2019","2019/30",11377,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 31 ending August 03, 2019","2019/31",11422,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 32 ending August 10, 2019","2019/32",11336,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 33 ending August 17, 2019","2019/33",11345,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 34 ending August 24, 2019","2019/34",11429,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 35 ending August 31, 2019","2019/35",11413,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 36 ending September 07, 2019","2019/36",11384,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 37 ending September 14, 2019","2019/37",11409,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 38 ending September 21, 2019","2019/38",11276,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 39 ending September 28, 2019","2019/39",11676,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 40 ending October 05, 2019","2019/40",11446,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 41 ending October 12, 2019","2019/41",11631,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 42 ending October 19, 2019","2019/42",11686,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 43 ending October 26, 2019","2019/43",11644,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 44 ending November 02, 2019","2019/44",11591,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 45 ending November 09, 2019","2019/45",11807,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 46 ending November 16, 2019","2019/46",11636,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 47 ending November 23, 2019","2019/47",11641,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 48 ending November 30, 2019","2019/48",11316,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 49 ending December 07, 2019","2019/49",11448,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 50 ending December 14, 2019","2019/50",11571,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 51 ending December 21, 2019","2019/51",11633,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2019 Week 52 ending December 28, 2019","2019/52",11472,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 01 ending January 04, 2020","2020/01",11560,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 02 ending January 11, 2020","2020/02",11939,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2020 Week 03 ending January 18, 2020","2020/03",11684,Not Applicable,Not Applicable,Not Applicable,0.2%
